question,answer,difficulty,topic,subtopic
這部作品描寫了梁山好漢的聚義和英雄事蹟，是中國古典四大名著之一。書中以「替天行道」為口號，主要敘述了一百零八條好漢的故事。請問這部作品是什麼？,水滸傳,4,文學,中文文學（古典）
唐朝時期的這位詩人被稱為「詩仙」，他的詩歌豪放不羈，充滿浪漫主義色彩。據說他能「一斗詩百篇」，其代表作包括《將進酒》和《早發白帝城》。請問這位詩人是誰？,李白,3,文學,中文文學（古典）
這部中國古典小說是四大名著之一，描述了一個大家族的興衰，以賈、史、王、薛四大家族為背景，主角賈寶玉與林黛玉的愛情故事為主線。請問這部小說是什麼？,紅樓夢,3,文學,中文文學（古典）
唐朝這位被稱為「詩聖」的詩人，其作品充滿了對國家命運和人民疾苦的深切關懷，代表作有《三吏》、《三別》等。他與李白並稱「李杜」，是唐詩的代表人物之一。請問這位詩人是誰？,杜甫,3,文學,中文文學（古典）
這部四大名著之一以三國時期魏、蜀、吳三國的歷史爭鬥為背景，劉備、關羽、張飛的桃園三結義是其中著名的開篇情節。請問這部小說是什麼？,三國演義,3,文學,中文文學（古典）
這位作家被譽為中國現代文學的奠基人，於1918年發表了中國第一篇白話文小說《狂人日記》，另著有《阿Q正傳》等作品。他是新文化運動的領導者之一，積極倡導白話文運動。請問這位作家是誰？,魯迅,3,文學,中文文學（近代、現代）
這部作品是現代文學家巴金的代表作，描述了封建大家庭高家三代人的生活，以及青年一代與舊制度的鬥爭。它是「激流三部曲」中的第一部，反映了中國社會從封建走向現代的轉變過程。請問這部作品是什麼？,家,4,文學,中文文學（近代、現代）
這位作家以筆名「茅盾」聞名，是中國現代文學史上的重要人物，其代表作《子夜》描繪了20世紀30年代中國半殖民地半封建社會的圖景。請問這位作家的本名是什麼？,沈德鴻,5,文學,中文文學（近代、現代）
這位香港作家創作了多部膾炙人口的武俠小說，本名是查良鏞，作品有《碧血劍》、《鹿鼎記》、《射鵰英雄傳》等。請問這位作家的筆名是什麼？,金庸,4,文學,中文文學（近代、現代）
這部現代文學作品描寫了一個農村青年的成長故事，以20世紀80年代的農村為背景，講述了主人公高加林在城鄉之間的徘徊與掙扎。作者是路遙。請問這部作品是什麼？,人生,4,文學,中文文學（近代、現代）
這位英國劇作家被譽為「世界文壇第一人」，其作品包括「四大悲劇」：《哈姆雷特》、《奧賽羅》、《李爾王》和《麥克白》。請問這位作家是誰？,莎士比亞,3,文學,西方文學
這部法國文學名著描述了一位前科犯人尚萬強的贖罪與救贖之路，同時刻畫了芳汀、珂賽特等悲慘角色的命運。這部作品後來被改編成音樂劇和電影。請問這部小說是什麼？,悲慘世界,4,文學,西方文學
這部愛爾蘭作家喬伊斯的著名小說以都柏林為背景，以利奧波德·布魯姆一天的經歷為主線，並參照荷馬史詩《奧德賽》的結構。請問這部現代主義文學經典是什麼？,尤利西斯,5,文學,西方文學
這位俄國文學家創作了《罪與罰》、《卡拉馬佐夫兄弟》等作品，以深刻的心理描寫和對人性的剖析聞名，被認為是俄國最偉大的小說家之一。請問這位作家是誰？,陀思妥耶夫斯基,4,文學,西方文學
這部美國文學名著描述了第一次世界大戰期間的一段悲劇愛情故事，男主角是一名美國義務兵擔任救護車司機，女主角是一名英國護士。故事背景設定在義大利戰場。請問這部海明威的代表作是什麼？,戰地春夢,5,文學,西方文學
這位日本作家是第一位獲得諾貝爾文學獎的亞洲人，其作品《雪國》、《千鳥》、《古都》等充滿日本傳統美學和禪意。請問這位作家是誰？,川端康成,4,文學,東方文學
這位當代日本作家的作品風格獨特，充滿超現實和魔幻色彩，代表作有《挪威的森林》、《1Q84》等。他的小說常被翻譯成多國語言，在全球範圍內擁有廣泛讀者。請問這位作家是誰？,村上春樹,3,文學,東方文學
這部印度史詩是世界上最長的史詩之一，講述了俱盧族的般度家族與持國家族之間的戰爭，同時包含了大量的哲學、宗教和倫理教導。請問這部史詩是什麼？,摩訶婆羅多,5,文學,東方文學
這位土耳其作家於2006年獲得諾貝爾文學獎，作品《我的名字叫紅》《雪》等被翻譯成多種語言。他的作品常探討東西方文化衝突以及土耳其的現代化歷程。請問這位作家是誰？,奧爾罕·帕慕克,5,文學,東方文學
這部日本古典文學作品被認為是世界上第一部長篇小說，描述了平安時代宮廷生活和一位美男子的情史。作品由女作家紫式部創作於11世紀初。請問這部作品是什麼？,源氏物語,4,文學,東方文學
這部童話集由德國兩兄弟於19世紀編纂，收錄了《小紅帽》、《白雪公主》、《灰姑娘》等經典童話故事。請問這部童話集是什麼？,格林童話,3,文學,繪本、童話、傳說
這位丹麥童話作家創作了《賣火柴的小女孩》、《醜小鴨》、《小美人魚》等膾炙人口的童話故事，被譽為世界童話之王。請問這位作家是誰？,安徒生,3,文學,繪本、童話、傳說
這部中東童話集包含了許多著名的故事，如《阿拉丁神燈》、《阿里巴巴與四十大盜》等，故事框架是一位國王的妻子每晚講述故事以拖延自己的死刑。請問這部童話集是什麼？,一千零一夜,4,文學,繪本、童話、傳說
這部兒童文學作品講述了一個小男孩與一隻狐狸的友誼故事，包含了許多對人生哲理的思考。作品中有名言「最重要的東西是用眼睛看不見的，要用心去感受」。請問這部作品是什麼？,小王子,3,文學,繪本、童話、傳說
這位英國兒童文學作家創作了《查理與巧克力工廠》、《了不起的狐狸爸爸》等作品，其故事常常充滿奇思妙想和黑色幽默。請問這位作家是誰？,羅爾德·達爾,4,文學,繪本、童話、傳說
這個中華神話故事講述了一位神射手為了解決天上出現多個太陽導致地上乾旱的問題，用神箭射下了九個太陽，只留下一個。請問這個神話故事的主角是誰？,后羿,3,文學,中華神話
這個中華創世神話描述了一位巨人用斧頭劈開混沌，創造了天地。他死後，他的身體各部分化為自然界的各種元素。請問這位創世神是誰？,盤古,3,文學,中華神話
這位女神在中華神話中因為偷吃了丈夫后羿從西王母處求得的長生不老藥，而飛到月亮上永遠居住。她的故事與中秋節有密切關聯。請問這位神話人物是誰？,嫦娥,3,文學,中華神話
這位女神在中華神話中用五色石補好了被共工撞破的天，又創造了人類。她被視為人類的創造者和保護神。請問這位神話人物是誰？,女媧,3,文學,中華神話
這位神話人物在失去父親后發誓要為父報仇，他每天用嘴含水往東海噴去，希望最終能將東海填平。這個故事比喻了堅持不懈的精神。請問這位神話人物是誰？,精衛,4,文學,中華神話
這位希臘神話中的主神統治著奧林匹斯山，是眾神之王，掌管天空和雷電。他的兄弟波塞冬和哈迪斯分別掌管海洋和冥界。請問這位神是誰？,宙斯,3,文學,世界神話
這位北歐神話中的主神被稱為眾神之父，擁有兩隻烏鴉為他收集世界各地的情報。為了獲取智慧，他曾犧牲一隻眼睛並在世界樹上吊了九天九夜。請問這位神是誰？,奧丁,4,文學,世界神話
這位希臘神話中的英雄完成了十二項不可能的任務，包括打敗尼美亞獅子、捕獲刻耳柏洛斯等。他因非凡的力量和勇氣而聞名，死後成為了奧林匹斯山上的神。請問這位英雄是誰？,赫拉克勒斯,4,文學,世界神話
這部北歐神話中描述的末日之戰將導致眾神與巨人的大戰，最終導致世界的毀滅與重生。在這場戰鬥中，奧丁、托爾等主要神明都將陣亡。請問這場末日之戰被稱為什麼？,諸神黃昏,5,文學,世界神話
這個埃及神話中的故事講述了一位神被其兄弟殺害並分屍，後被妻子尋回屍體碎片並重新組合復活。這位神後來成為冥界之王，象徵生命的循環。請問這位神是誰？,奧西里斯,5,文學,世界神話
這部佛教經典記載了釋迦牟尼的得道弟子惠能與神秀在五祖弘忍面前的偈語比試，以及惠能後來成為六祖的經歷。請問這部經典是什麼？,六祖壇經,5,文學,宗教經典
這部伊斯蘭教的核心經典被信徒認為是真主通過天使加百列直接啟示給先知穆罕默德的話語，全書共114章。請問這部經典是什麼？,古蘭經,4,文學,宗教經典
這部基督教經典中記載了一位先知帶領以色列人出埃及，並在西奈山上接受了十誡。這個故事是猶太教、基督教中重要的歷史事件。請問這位帶領以色列人出埃及的先知是誰？,摩西,3,文學,宗教經典
這部佛教經典中有著名的「色即是空，空即是色」的教導，是大乘佛教最重要的經典之一，被認為包含了佛教智慧的精髓。請問這部經典是什麼？,心經,4,文學,宗教經典
這位聖經人物被視為基督教信仰的核心，根據《新約》記載，他是上帝之子，為救贖人類的罪而死在十字架上，第三天復活。請問這位人物是誰？,耶穌,3,文學,宗教經典
這位科學家提出了三大運動定律，其中第一定律指出物體若不受外力作用或所受外力的合力為零時，物體的運動狀態保持不變。他也發明了微積分，請問這位科學家是誰？,牛頓,3.0,理科,物理學
這位物理學家於1915年提出廣義相對論，他認為重力會使光線彎曲，並於1919年經英國天文學家的日全蝕觀測證實。他也提出了著名的質能方程式 E=mc²。請問這位物理學家是誰？,愛因斯坦,2.5,理科,物理學
這是一種物理現象，當物體浸入流體中時，會受到一個向上的浮力，這個浮力的大小等於該物體排開的流體重量。這個原理是由古希臘科學家在洗澡時發現的，據說他發現後激動地裸奔喊著「尤里卡」。請問這是什麼原理？,阿基米德原理,4.0,理科,物理學
這種電磁波是由德國物理學家亨利希·赫茲於1888年首次產生和接收，現在被廣泛應用於無線通訊，包括手機、WiFi和藍牙等技術。請問這是什麼波？,無線電波,3.5,理科,物理學
這位法國物理學家對電磁學有重大貢獻，他提出了電流的磁效應定律，並以他的名字作為電流單位。請問這位科學家是誰？,安培,4.0,理科,物理學
這位俄國化學家於1869年創立了元素週期表，依據元素的原子量排列，並成功預測了當時未被發現的元素。請問這位化學家是誰？,門得列夫,4.0,理科,化學
這個化學常數代表一摩爾物質所含的分子或原子數量，數值約為6.022×10²³，是根據12克碳-12所含的原子數。請問這是什麼常數？,亞佛加厥常數（阿佛加德羅常數）,5.0,理科,化學
這是一種強烈的氧化劑，分子式為H₂O₂，常被用作消毒劑、漂白劑，遇到血液時會產生氧氣泡沫。請問這是什麼物質？,雙氧水（過氧化氫）,3.0,理科,化學
這種元素在室溫下是液態，常用於溫度計，化學符號為Hg，長期接觸可能導致神經系統損傷。請問這是什麼元素？,汞（水銀）,2.5,理科,化學
這種氣體在室溫下無色無味，分子式為CO，結合血紅蛋白的能力比氧氣強210倍，是一種常見的致命氣體。請問這是什麼物質？,一氧化碳,3.0,理科,化學
這位數學家是歷史上最偉大的數學家之一，他提出了著名的恆等式 e^(iπ)+1=0，被稱為「最優美的數學定理」，他的名字也被用作自然對數的底數。請問這位數學家是誰？,歐拉,4.5,理科,數學、電腦科學
