主分類,子分類,難度,題目,答案
文學,0,1,"「詩仙」是對他的美譽，其詩風豪邁奔放，富有浪漫主義色彩，代表作有《靜夜思》、《將進酒》等。請問這位唐代偉大詩人是誰？",李白
文學,0,2,"這部儒家經典據傳由孔子編訂，是中國最早的詩歌總集，分為風、雅、頌三個部分。請問這是哪一部典籍？",詩經
文學,0,3,"這部元雜劇由王實甫創作，講述了張生與崔鶯鶯在普救寺相遇，最終衝破封建禮教束縛而結合的愛情故事。請問這是哪部作品？",西廂記
文學,0,2,"這位宋代女詞人，以其婉約細膩的詞風著稱，前期作品多寫閨怨閒愁，後期則寄寓家國之痛與身世之感，名句有「尋尋覓覓，冷冷清清，悽悽慘慘戚戚」。請問她是誰？",李清照
文學,0,1,"這部小說是中國四大名著之一，相傳由施耐庵所著，描寫了北宋末年以宋江為首的108位好漢在梁山聚義的故事。請問這是哪部小說？",水滸傳
文學,1,1,"他是新文化運動的重要旗手，以小說《狂人日記》、《阿Q正傳》等作品深刻批判封建禮教和國民劣根性。請問這位近代文學巨匠是誰？",魯迅
文學,1,2,"這套系列小說由巴金創作，包括《家》、《春》、《秋》三部，描寫了一個封建大家庭的衰落和青年一代的覺醒與反抗。請問這套系列小說合稱什麼？",激流三部曲
文學,1,1,"這位台灣女作家以其遊歷經歷和充滿異域風情的散文集《撒哈拉的故事》聞名，她與荷西的愛情故事也廣為流傳，並創作了《橄欖樹》的歌詞。請問她是誰？",三毛
文學,1,1,"這位香港著名作家，以其創作的《射鵰英雄傳》、《神鵰俠侶》、《倚天屠龍記》等多部武俠小說聞名於世，被譽為「有華人的地方，就有他的小說」。請問這位作家是誰？",金庸 (查良鏞)
文學,1,2,"這首現代詩由徐志摩創作於1928年，表達了詩人對劍橋大學的眷戀之情，其中「輕輕的我走了，正如我輕輕的來」成為膾炙人口的名句。請問這首詩的名稱是什麼？",再別康橋
文學,2,2,"這位英國劇作家被譽為「莎翁」，創作出《哈姆雷特》、《羅密歐與茱麗葉》等多部經典悲劇和喜劇，對英語文學影響深遠。請問他是誰？",威廉·莎士比亞
文學,2,3,"這部法國小說由維克多·雨果創作，以1832年巴黎共和黨人起義為背景，描寫了主人公尚萬強的悲慘遭遇和人性的光輝。請問這部小說是什麼？",孤星淚 (悲慘世界)
文學,2,3,"這位美國作家以其簡潔的「冰山理論」寫作風格著稱，作品有《老人與海》、《戰地春夢》等，並獲得諾貝爾文學獎。請問他是誰？",歐內斯特·海明威
文學,2,4,"這部俄國小說由列夫·托爾斯泰創作，以拿破崙侵俄戰爭為背景，描寫了四大貴族家庭的生活，展現了宏大的歷史畫卷。請問這部小說是什麼？",戰爭與和平
文學,2,2,"這位英國女作家以創作偵探小說聞名，塑造了大偵探赫丘勒·白羅和瑪波小姐等角色，代表作有《東方快車謀殺案》、《無人生還》。請問她是誰？",阿嘉莎·克莉絲蒂
文學,3,2,"這位日本作家以《挪威的森林》、《海邊的卡夫卡》等作品聞名國際，其作品融合現實與超現實元素，深受年輕讀者喜愛。請問他是誰？",村上春樹
文學,3,3,"這部日本古典小說被譽為世界上最早的長篇寫實小說，由紫式部創作，描寫了平安時代貴族光源氏的生平與愛情故事。請問這部作品是什麼？",源氏物語
文學,3,4,"這位印度詩人是首位獲得諾貝爾文學獎的亞洲人，其詩集《吉檀迦利》充滿哲理與宗教色彩，代表作還有《飛鳥集》。請問他是誰？",羅賓德拉納特·泰戈爾
文學,3,4,"這部阿拉伯民間故事集，以山魯佐德王妃每夜講故事來拖延被處決的故事為框架，收錄了《阿拉丁神燈》、《阿里巴巴與四十大盜》等故事。請問這部故事集是什麼？",一千零一夜 (天方夜譚)
文學,3,3,"這位日本作家以《羅生門》、《竹林中》等短篇小說聞名，其作品探索人性幽暗面，後來設立的純文學獎項即以他的名字命名。請問他是誰？",芥川龍之介
文學,4,1,"這個家喻戶曉的歐洲童話故事，講述一位小女孩穿著紅色的兜帽斗篷去看望生病的祖母，卻在途中遇到了偽裝成祖母的大野狼。請問這個童話故事的名稱是什麼？",小紅帽
文學,4,2,"這部由安徒生創作的童話，講述一位人魚公主為了追求人類王子而犧牲自己的聲音，最終化為泡沫的故事。請問這個童話故事是什麼？",美人魚 (海的女兒)
文學,4,1,"這個童話故事講述一個貧窮的少年，意外獲得一個神燈，燈中有個能實現願望的精靈，幫助他娶得公主。請問這個童話故事的名稱是什麼？",阿拉丁神燈
文學,4,2,"這位繪本作家兼插畫家創作了《好餓的毛毛蟲》、《棕色的熊，棕色的熊，你在看什麼？》等深受兒童喜愛的繪本，以其獨特的拼貼畫風聞名。請問他是誰？",艾瑞·卡爾
文學,4,3,"這個中國民間傳說講述了一對戀人因家庭反對而殉情，死後化為蝴蝶雙宿雙飛的故事，是中國古代四大民間愛情故事之一。請問這個傳說的名稱是什麼？",梁山伯與祝英台
文學,5,2,"在中國神話中，這位女神煉五色石以補蒼天，並摶土造人，被尊為人類始祖。請問這位女神是誰？",女媧
文學,5,3,"這位中國神話中的英雄人物，因治水有功，受舜禪讓而繼承帝位，建立了夏朝。他治水時「三過家門而不入」的故事廣為流傳。請問他是誰？",大禹
