主分類,子分類,説明
文學,中文文學（古典）,與中文古典文學（白話文運動前 ～1910年前）有關的問題。詩詞歌賦一概歸類至此。
文學,中文文學（近代、現代）,與中文古典文學（白話文運動後 ～1910年後）有關的問題。不分純文學、大眾文學、現代詩等一概納入。
文學,西方文學,與西方文學有關的問題（英、美、法、德等）。
文學,東方文學,與日本、印度、中東等中文以外，東方文學有關的問題。不分純文學、大眾文學、現代詩等一概納入，與動漫等其他分類有關者除外。
文學,繪本、童話、傳說,與繪本、童話、民間傳說有關的問題。
文學,中華神話,與中華神話有關的問題。
文學,世界神話,與中華以外神話有關的問題。
文學,宗教經典,宗教故事、宗教中與聖經或經典等文學性較強的問題。
文學,文學（其他）,上記以外分類到文學的問題。
文學,文學Crossover,與多個主分類或子分類有關，最後分類到文學的問題。
理科,物理學,與物理學有關的問題。
理科,化學,與化學有關的問題。
理科,數學、電腦科學,與數學、電腦科學有關的問題。
理科,醫學、衛生,與生物病理、疾病、藥物、營養有關的問題。
理科,生物學,與生物生理、生物學有關的問題。
理科,動植物,與生物學以外，動植物有關的問題。
理科,地球科學,與地球歷史（中新世、恐龍等）、地理學（地理形態、自然現象、水文、氣候）等有關的問題。
理科,天文學,與星座、物理學中天文範疇有關的問題。
理科,科技、資訊科技,與科學技術、資訊和通訊科技有關的問題。
理科,理科（其他）,與生活科學、獎項等有關，上記以外分類到科學的問題。
理科,理科Crossover,與多個主分類或子分類有關，最後分類到科學的問題。
地理,香港,與香港地理有關的問題。
地理,大中華地區,與中國、台灣、澳門等地理有關的問題。
地理,日本,與日本地理有關的問題。
地理,東南亞,上記以外與東南亞地區地理有關的問題。
地理,亞洲,東南亞地區以外與亞洲地理相關的問題。
地理,歐洲,與歐洲地理有關的問題。
地理,美加,與美國、加拿大地理有關的問題。
地理,其他地區,除上記以外與地球其他地區地理有關的問題。
地理,地圖,與大洲、地圖法、地圖等有關的問題。
地理,交通,與鐵路、道路、橋樑、航空器等，交通有關的問題。
地理,地理（其他）,國旗等，上記以外分類到地理的問題。
地理,地理Crossover,與多個主分類或子分類有關，最後分類到地理的問題。
社會,政治,與政治、政治學、政治人物、政治組織等有關的問題。
社會,法律,與法律條文、法學有關的問題。
社會,經濟,與經濟、經濟學有關的問題。
社會,商業、金融,與股票市場、市場學、管理學、會計學等商科有關的問題。包含具體企業名有關的問題除外。
