question,A,B,C,D,answer,difficulty,topic,subtopic
香港身份證號碼首個英文字母若是「Z」，代表該持證人是在哪裡首次登記身份證？,香港島,九龍,新界,香港境外,D,6.3,生活,生活
香港哪一個地方以其密集的金魚街市而聞名？,旺角通菜街,深水埗鴨寮街,油麻地廟街,中環石板街,A,4.2,地理,香港
莎士比亞名劇《羅密歐與茱麗葉》的故事背景設定在哪個意大利城市？,羅馬,佛羅倫斯,威尼斯,維羅納,D,5.7,文學,西方文學
哪種維他命主要透過陽光照射皮膚合成，對骨骼健康至關重要？,維他命A,維他命C,維他命D,維他命E,C,5.1,理科,醫學、衛生
在中國傳統曆法（農曆）中，「朔」指的是哪一天？,初一,初二,十五,十六,A,7.4,文化,中華文化、風俗
香港國際機場位於哪個島嶼上？,香港島,大嶼山,青衣島,南丫島,B,2.8,地理,香港
「萬維網」（World Wide Web）的發明者是誰？,比爾蓋茨,史提夫喬布斯,添柏納斯李,拉里佩奇,C,5.9,理科,科技、資訊科技
香港電車（叮叮車）主要在哪個區域行駛？,九龍西,新界東,香港島北岸,大嶼山南部,C,2.1,地理,交通
廣東話俗語「捉蟲」是甚麼意思？,捕捉昆蟲,自找麻煩,欺騙別人,尋找配偶,B,3.6,語言,廣東話
哪位科學家提出了相對論？,牛頓,伽利略,愛因斯坦,普朗克,C,2.4,理科,物理學
香港的「女人街」實際街道名稱是甚麼？,花園街,通菜街,西洋菜南街,豉油街,B,3.9,地理,香港
「USB」是一種常見的電腦連接埠標準，請問字母「B」代表甚麼？,Binary,Bus,Byte,Broadband,B,6.1,理科,科技、資訊科技
香港會議展覽中心的哪個部分因其獨特外形而被暱稱為「飛鼠」或「海龜」？,第一期,第二期（新翼）,第三期（中環廣場）,君悅酒店,B,6.7,地理,香港
著名畫作《蒙娜麗莎》現藏於法國哪間博物館？,奧賽博物館,羅浮宮,龐畢度中心,凡爾賽宮,B,3.2,文化,平面藝術
香港哪條隧道是第一條連接香港島和九龍半島的海底汽車隧道？,香港仔隧道,海底隧道（紅隧）,東區海底隧道（東隧）,西區海底隧道（西隧）,B,4.8,地理,交通
元素週期表中，原子序數為1的元素是甚麼？,氦 (He),氫 (H),鋰 (Li),氧 (O),B,4.6,理科,化學
在香港茶餐廳文化中，「靚仔」通常指甚麼？,英俊的侍應,白飯,熱奶茶,菠蘿油,B,3.4,生活,飲食
英國著名的偵探小說角色福爾摩斯居住在哪條虛構的街道？,牛津街,攝政街,貝克街,艦隊街,C,5.3,文學,西方文學
香港公共屋邨中歷史最悠久、且現存部份樓宇的是哪個屋邨？,石硤尾邨,彩虹邨,華富邨,蘇屋邨,A,6.5,歷史,香港史
光年（Light-year）是量度甚麼的單位？,時間,速度,距離,亮度,C,5.5,理科,天文學
香港島最高的山峰是？,太平山（爐峰）,柏架山,扯旗山,奇力山,A,4.2,地理,香港
經典童話故事中，誰因為鼻子會變長而聞名？,小紅帽,灰姑娘,木偶奇遇記主角皮諾丘,白雪公主,C,2.8,文學,繪本、童話、傳說
香港現時流通的十元鈔票主要顏色是甚麼？,紅色,綠色,紫色,藍色,C,3.7,生活,生活
哪種自然現象是因地球、月球和太陽處於一直線，月球擋住了太陽光所造成？,月食,日食,流星雨,極光,B,5.1,理科,天文學
香港電影金像獎獎座的女神像是參考哪位女星設計的？,蕭芳芳,鄭佩佩,繆騫人,張曼玉,C,6.8,娛樂,電影（香港）
位於香港新界西北，以其濕地生態聞名的公園是？,香港濕地公園,城門郊野公園,大埔滘自然護理區,西貢郊野公園,A,4.9,地理,香港
「庖丁解牛」這個成語出自哪本中國古代典籍？,《論語》,《孟子》,《莊子》,《道德經》,C,6.5,文學,中文文學（古典）
香港身份證上的「***」代表甚麼意思？,持證人擁有香港居留權,持證人年滿十八歲,持證人為香港永久性居民,持證人曾在香港登記結婚,A,4.1,社會,法律
計算機科學中，一個字節（Byte）等於多少個位元（Bit）？,4,8,16,32,B,5.3,理科,數學、電腦科學
香港哪區以其「天壇大佛」而成為著名旅遊景點？,沙田區,離島區（大嶼山）,西貢區,南區,B,3.4,地理,香港
在希臘神話中，哪位神祇是眾神之王？,阿波羅,波塞頓,宙斯,黑帝斯,C,2.6,文學,世界神話
香港最長的行車隧道是哪一條？（截至2024年底）,屯門至赤鱲角連接路隧道,尖山隧道,大老山隧道,長青隧道,A,6.2,地理,交通
「三權分立」理論中，立法權、行政權之外的第三權是指甚麼權力？,監察權,司法權,考試權,傳媒權,B,5.7,社會,政治
香港哪所大學的校園本部不是位於九龍塘區？,香港城市大學,香港浸會大學,香港理工大學,香港科技大學,D,5.9,生活,生活
成語「塞翁失馬」比喻甚麼？,因禍得福,不知變通,失去機會,過於自信,A,4.6,語言,成語
日本傳統的相撲運動中，力士的最高等級稱謂是甚麼？,大關,關脇,小結,橫綱,D,5.5,運動,格鬥技
香港哪個離島以其獨特的棚屋（水上房屋）景觀而聞名？,長洲,南丫島,坪洲,大澳（大嶼山）,D,4.8,地理,香港
英國文學作品《傲慢與偏見》的作者是誰？,夏綠蒂勃朗特,艾蜜莉勃朗特,珍奧斯汀,維吉尼亞吳爾芙,C,5.4,文學,西方文學
香港的區號（國際電話代碼）是甚麼？,+86,+852,+853,+886,B,2.9,生活,生活
DNA 的雙螺旋結構是由哪兩位科學家共同發現並提出的？,沃森和克里克,達爾文和華萊士,孟德爾和摩爾根,巴斯德和科赫,A,6.1,理科,生物學
香港哪個著名的夜市以售賣各式小食和算命攤檔聞名？,廟街,女人街,鴨寮街,利源東街,A,2.7,地理,香港
在中國傳統文化中，被稱為「文房四寶」的是指筆、墨、紙和甚麼？,硯,印,書,劍,A,4.3,文化,中華文化、風俗
香港現時（2025年）唯一的輕便鐵路系統主要服務哪個區域？,港島南區,九龍東區,新界西北（屯門、元朗、天水圍）,新界東北（上水、粉嶺）,C,5.6,地理,交通
「對牛彈琴」這個成語用來比喻甚麼？,音樂技巧高超,對不懂欣賞的人講道理,教導方法巧妙,做事徒勞無功,B,3.2,語言,成語
地球自轉一圈大約需要多少時間？,12小時,24小時,365天,1個月,B,1.8,理科,天文學
香港的法定最低工資是在哪一年首次實施的？,2007年,2009年,2011年,2013年,C,5.9,社會,經濟
