題目,答案,難度,主分類,子分類
這個英文單字可以指瓷器，同時可以指中國，請問這個英文單字是？,China,2.3,語言,英文
位於長沙灣道的一間中學、位於柯士甸道的一個公園，它們的簡稱的廣東話讀音相同，此讀音亦可比喻為不擇手段討好女性的男人，請問是？,狗公,5,語言,語言Crossover
通常牽涉的金額以毫子計算，目的不是輸贏，而是遊玩的過程間達到消閒或聯誼目的。請問這種特殊的麻雀玩法稱為？,衛生麻雀,4,文化,中華文化、風俗
這是香港一種傳統的住宅形式，住宅向大街的一面是舖頭店面，而舖頭後面則是作為居所使用，請問這種住宅形式是？,前舖後居,5,生活,生活
用直而尖銳的喙在樹皮上鑿洞，然後用帶鉤的舌頭鉤出樹木的蛀蟲進食，因此有「樹木醫生」稱號的雀鳥是？,啄木鳥 Woodpecker,2.6,理科,動植物
此城市擁有東南亞最多前殖民地建築，位於伊江三角洲，名稱含有「戰亂終結」之意，請問此緬甸最大城市兼前首都是？,仰光 Rangoon,6,地理,東南亞
現今常用的眼線有三種類型，分別是眼線筆 Pencil Eyeliner、眼線膠 Gel Eyeliner 和哪一種？,液體眼線筆 Liquid Eyeliner,6.2,生活,服飾、時尚
作為2020年 ViuTV 一套西方玄學節目名稱，請問這種意指「面對不點名批評時，先把批評對象假定為自己」的行為稱為？,對號入座,5,語言,廣東話
這個功能是給有肢體障礙的用戶使用電腦的輔助，可以避免要求用戶同時按下多個功能鍵。請問這個在 Windows 中按 Shift 鍵 5 次可以打開的功能是？。,粘滯鍵 Sticky keys,5,理科,科技、資訊科技
位於馬鞍山鞍駿街2號，是香港宿位最多同佔地面積最大的營地，請問這個由香港中華基督教青年會經營的營地是？,烏溪沙青年新村,5,地理,香港
主張「非命」、「非樂」、「天志」、「明鬼」等思想，亦是中國古代第一個邏輯學體系的發源處。這個在春秋戰國時代流行，被韓非子稱為「世之顯學」的哲學流派是？,墨家,5,社會,倫理、哲學
位於巴塞羅那，這座由高迪設計的教堂中總共有十八個尖塔和三個立面，從1882年開始修建，至今仍未完工。請問這座教堂的名稱是？,聖家大教堂 Sagrada Família,5,文化,立體藝術
這種廚具在遊戲 PUBG 中可以用於擋子彈。請問這種鑊底平坦，用於煎同煮的廚具是？,平底鑊 Frying Pan,4.7,娛樂,遊戲（電子）
