question,answer,difficulty,topic,subtopic
這位英雄是一位來自愛歐尼亞的武僧 以能量而非魔力施放技能 他的Q技能可以衝向敵人或友軍 W技能提供護盾 R技能可以踢飛敵人 請問這位英雄是？,李星 Lee Sin,2.5,娛樂,遊戲（電子）
這個遊戲模式在地圖「咆嘯深淵」上進行 玩家隨機分配英雄 只有一條兵線 無法回城購買裝備 請問這個模式是？,隨機單中 ARAM (All Random All Mid),2.8,娛樂,遊戲（電子）
這個召喚師技能可以讓英雄瞬間傳送一小段距離 無論是追擊或逃跑都非常實用 冷卻時間較長 請問這個技能是？,閃現 Flash,1.5,娛樂,遊戲（電子）
這件裝備提供物理攻擊、攻速和暴擊率 其被動效果「風怒」讓普攻可以減少基本技能的冷卻時間 請問這件射手常用裝備是？,那歐疾刃 Navori Quickblades,4.5,娛樂,遊戲（電子）
這個中立野怪營地位於河道兩側 擊殺後可以提供視野和短暫的加速效果 請問這個野怪是？,河蟹 Rift Scuttler,2.9,娛樂,遊戲（電子）
這位英雄被稱為「蒂瑪西亞之力」 以大劍為武器 Q技能可以沉默敵人 E技能是旋轉攻擊 R技能是對敵人造成巨大物理傷害的斬殺技 請問這位英雄是？,蓋倫 Garen,1.8,娛樂,遊戲（電子）
這個屬性代表英雄每秒回復的生命值 可以透過道具、符文或英雄技能提升 請問這個屬性通常簡稱為？,回血 / 生命回復 Health Regen / HP5,3.0,娛樂,遊戲（電子）
這個每年舉辦一次的國際賽事 是英雄聯盟最高級別的比賽 各賽區頂尖隊伍爭奪召喚師獎盃 請問這個賽事是？,英雄聯盟世界大賽 League of Legends World Championship (Worlds),2.2,娛樂,遊戲（電子）
這個來自佐恩的瘋狂科學家 投擲化學藥劑進行攻擊 Q技能可以將敵人拋到身後 R技能是劇毒蹤跡 讓路徑上的敵人中毒 請問這位英雄是？,辛吉德 Singed,4.0,娛樂,遊戲（電子）
這件裝備由「女神之淚」和「燃燒寶石」合成 提供魔力、技能加速和生命值 被動效果「敬畏」能根據額外魔力提供技能加速 請問這件輔助/法師裝備是？,芬布爾之冬 Fimbulwinter,5.5,娛樂,遊戲（電子）
在遊戲中 摧毀敵方基地的這個建築物是獲勝的最終目標 它受到兩座防禦塔的保護 請問這個建築物是？,主堡 Nexus,2.0,娛樂,遊戲（電子）
這位英雄是一位使用卡牌的賭徒 他的Q技能是擲出三張卡牌 W技能可以選擇不同效果的卡牌（藍、紅、金） R技能可以傳送到地圖上任何位置並揭露敵方視野 請問這位英雄是？,逆命 Twisted Fate,3.3,娛樂,遊戲（電子）
這個遊戲術語指輔助英雄保護己方核心輸出（通常是射手）免受敵方突襲的行為 請問這個術語是？,保排 / 保護 Peel,4.2,娛樂,遊戲（電子）
這件裝備提供大量物理穿透和技能加速 其被動效果讓英雄在脫離戰鬥後下次普攻可以緩速敵人 請問這件刺客常用裝備是？,公理弧刃 Axiom Arc,5.0,娛樂,遊戲（電子）
這個野怪營地包含一個大型的藍色魔像 擊殺牠可以獲得一個提供額外魔力回復和技能加速的增益效果 請問這個增益效果俗稱？,藍Buff / 藍爸 Blue Buff (Crest of Insight),2.4,娛樂,遊戲（電子）
這位英雄是諾克薩斯的高階將領 騎乘著名為「碧翠絲」的惡魔渡鴉 他的被動技能可以收集「魂屑」 R技能可以變身為惡魔形態 請問這位英雄是？,斯溫 Swain,4.8,娛樂,遊戲（電子）
這個屬性代表英雄每秒攻擊的次數 可以透過道具、符文或英雄技能提升 請問這個屬性是？,攻擊速度 Attack Speed,2.8,娛樂,遊戲（電子）
這個韓國賽區被廣泛認為是歷史上最強的賽區之一 孕育了如T1、Gen.G等眾多世界冠軍隊伍 請問這個賽區的縮寫是？,LCK (League of Legends Champions Korea),2.9,娛樂,遊戲（電子）
這位英雄是來自巨石峰的星界遊龍 他可以創造星體環繞自身進行攻擊 R技能可以噴吐星火造成巨大範圍傷害 請問這位英雄是？,翱銳龍獸 Aurelion Sol,5.3,娛樂,遊戲（電子）
